parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,runs,status,avg_e2e_ms_mean,avg_e2e_ms_std,p95_ms_mean,p95_ms_std,p99_ms_mean,p99_ms_std,success_rate_mean,success_rate_std,cold_start_share_mean,cold_start_share_std
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,low,Low,5e-05,3,ok,3137.128403010942,220.00641144157316,5671.633333333332,77.03808041049093,7194.889999999993,776.2516404491549,1.0,0.0,0.6141089396402023,0.012913597868151161
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,mid,Medium,0.0001,3,ok,2546.2236943614384,118.508753592452,5111.699999999998,339.68943168724076,6570.126666666667,211.6285664397237,1.0,0.0,0.5306691166914477,0.0011455529345102587
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,high,High,0.0002,3,ok,1999.2997234234338,97.34895425759521,4671.966666666667,167.55632883700022,6824.356666666685,123.90986899087196,1.0,0.0,0.40341685773158925,0.010860315977541956
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,low,Low,5e-05,3,ok,3164.2845466115105,172.37683282138354,5737.666666666667,61.457471745372786,7009.16333333332,536.0198067546936,1.0,0.0,0.6174706822913374,0.0129864529744201
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,mid,Medium,0.0001,3,ok,2550.8489147004966,179.68875715974448,5042.633333333332,340.8041128468579,6677.12000000001,681.8532284883768,1.0,0.0,0.5310573742819114,0.012629997264676375
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,high,High,0.0002,3,ok,1986.8312609381253,61.17522878990153,4646.833333333333,156.7495560865584,6520.5866666666725,110.43153414370029,1.0,0.0,0.4009367657206364,0.011025828393640703
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,low,Low,5e-05,3,ok,3087.766002120315,192.84110583028,5495.533333333332,76.89553519765461,7159.199999999998,1152.9649090930745,1.0,0.0,0.6074938542548332,0.007429436875850183
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,mid,Medium,0.0001,3,ok,2507.619375511222,174.57257323421547,5052.066666666667,453.0401122785196,6212.766666666671,349.6069486342295,1.0,0.0,0.5272263496434492,0.013256697116058596
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.6,high,High,0.0002,3,ok,1979.4821203666777,108.86732712101708,4635.833333333335,219.49620345995163,6853.390000000022,326.32852265777717,1.0,0.0,0.3980062204546806,0.004259834826411113
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,low,Low,5e-05,3,ok,3145.290534494076,172.69602793934473,5704.716666666667,175.66613456592395,7341.2,749.0494025763587,1.0,0.0,0.6144938576509792,0.004568240730499854
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,mid,Medium,0.0001,3,ok,2480.2056207413866,182.07263436011345,5023.333333333332,518.1227106905615,6520.053333333336,133.44592063204016,1.0,0.0,0.5190980451298145,0.008330058614138276
rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.7,high,High,0.0002,3,ok,1989.2612830771495,75.93893230016981,4599.233333333334,147.9082260502548,6634.616666666675,135.8556521950167,1.0,0.0,0.40223642743067883,0.011334259471705162
tau_p,$\tau_p$,hpwp_tau_p,0.008,low,Low,5e-05,3,ok,3148.9643554526097,197.37671494670215,5704.7,52.92643479396693,7278.763333333328,622.4499797038525,1.0,0.0,0.6176064052960438,0.012980398149059172
