label,parameter,parameter_label,parameter_key,parameter_value,scenario,scenario_label,rate_multiplier,seed,run_dir,avg_e2e_ms,p50_ms,p95_ms,p99_ms,success_rate,cold_start_share,status
rho_mass_0p4_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-164225_least_load_hpwp_v1,2610.344894026975,2335.0,5347.2,6343.220000000001,1.0,0.531295741192779,ok
rho_mass_0p4_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-164230_least_load_hpwp_v1,2618.8563535911603,2305.0,5265.599999999998,6605.020000000003,1.0,0.5293469447743697,ok
rho_mass_0p4_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-164234_least_load_hpwp_v1,2409.469835466179,2287.0,4722.299999999997,6762.139999999997,1.0,0.5313646641071943,ok
rho_mass_0p4_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,high,High,0.0002,42,D:\Serverless_platform\runs\20260818-164239_least_load_hpwp_v1,2067.4192634560904,1540.0,4706.599999999999,6776.800000000032,1.0,0.4005408795207082,ok
rho_mass_0p4_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,high,High,0.0002,43,D:\Serverless_platform\runs\20260818-164244_least_load_hpwp_v1,2042.6777677767777,1526.0,4819.5,6965.000000000023,1.0,0.3942839894862773,ok
rho_mass_0p4_high,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.4,high,High,0.0002,44,D:\Serverless_platform\runs\20260818-164249_least_load_hpwp_v1,1887.802139037433,1497.5,4489.800000000002,6731.2699999999995,1.0,0.41542570418778213,ok
rho_mass_0p5_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,low,Low,5e-05,42,D:\Serverless_platform\runs\20260818-164254_least_load_hpwp_v1,3319.003787878788,3253.0,5765.25,6561.13,1.0,0.6307102007835959,ok
rho_mass_0p5_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,low,Low,5e-05,43,D:\Serverless_platform\runs\20260818-164258_least_load_hpwp_v1,3195.3695652173915,3227.0,5667.25,7603.0,1.0,0.6047530280455641,ok
rho_mass_0p5_low,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,low,Low,5e-05,44,D:\Serverless_platform\runs\20260818-164303_least_load_hpwp_v1,2978.4802867383514,2935.0,5780.499999999999,6863.359999999961,1.0,0.6169488180448522,ok
rho_mass_0p5_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,mid,Medium,0.0001,42,D:\Serverless_platform\runs\20260818-164307_least_load_hpwp_v1,2674.1926782273604,2389.0,5328.3,7391.18000000003,1.0,0.534955537334661,ok
rho_mass_0p5_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,mid,Medium,0.0001,43,D:\Serverless_platform\runs\20260818-164311_least_load_hpwp_v1,2633.6685082872928,2416.0,5134.2,6607.340000000003,1.0,0.5412787518477962,ok
rho_mass_0p5_mid,rho_mass,$\rho_{mass}$,hpwp_rho_mass,0.5,mid,Medium,0.0001,44,D:\Serverless_platform\runs\20260818-164316_least_load_hpwp_v1,2344.685557586837,2083.0,4665.399999999999,6032.839999999998,1.0,0.5169378336632768,ok
