parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,runs
forget_gamma,$\gamma$,0.87,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
forget_gamma,$\gamma$,0.87,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
forget_gamma,$\gamma$,0.87,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
forget_gamma,$\gamma$,0.87,mid,Medium,avg_e2e_ms,Avg,2506.9455892322258,188.78364809478035,3
forget_gamma,$\gamma$,0.87,mid,Medium,p95_ms,P95,5060.433333333333,368.4101021054297,3
forget_gamma,$\gamma$,0.87,mid,Medium,p99_ms,P99,6872.333333333342,527.2458759756558,3
forget_gamma,$\gamma$,0.87,high,High,avg_e2e_ms,Avg,1979.637250393928,93.15161518011544,3
forget_gamma,$\gamma$,0.87,high,High,p95_ms,P95,4663.833333333333,295.40958571673485,3
forget_gamma,$\gamma$,0.87,high,High,p99_ms,P99,6681.403333333347,550.0767639460408,3
forget_gamma,$\gamma$,0.9,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
forget_gamma,$\gamma$,0.9,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
forget_gamma,$\gamma$,0.9,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
forget_gamma,$\gamma$,0.9,mid,Medium,avg_e2e_ms,Avg,2517.671851550119,139.89216949363438,3
forget_gamma,$\gamma$,0.9,mid,Medium,p95_ms,P95,4922.333333333333,450.0760639417889,3
forget_gamma,$\gamma$,0.9,mid,Medium,p99_ms,P99,6801.513333333333,674.8912120729947,3
forget_gamma,$\gamma$,0.9,high,High,avg_e2e_ms,Avg,1994.3164396509637,60.60577773325069,3
forget_gamma,$\gamma$,0.9,high,High,p95_ms,P95,4677.616666666666,211.18371346610263,3
forget_gamma,$\gamma$,0.9,high,High,p99_ms,P99,6645.980000000003,347.49522701758383,3
forget_gamma,$\gamma$,0.95,low,Low,avg_e2e_ms,Avg,3164.2845466115105,172.37683282138354,3
forget_gamma,$\gamma$,0.95,low,Low,p95_ms,P95,5737.666666666667,61.457471745372786,3
forget_gamma,$\gamma$,0.95,low,Low,p99_ms,P99,7009.16333333332,536.0198067546936,3
forget_gamma,$\gamma$,0.95,mid,Medium,avg_e2e_ms,Avg,2532.4783609916994,188.44925876834685,3
forget_gamma,$\gamma$,0.95,mid,Medium,p95_ms,P95,5058.333333333333,308.2213057744931,3
forget_gamma,$\gamma$,0.95,mid,Medium,p99_ms,P99,6770.866666666668,128.6437566822924,3
forget_gamma,$\gamma$,0.95,high,High,avg_e2e_ms,Avg,1995.343587508226,90.08262663752967,3
forget_gamma,$\gamma$,0.95,high,High,p95_ms,P95,4620.4,219.76198488364543,3
forget_gamma,$\gamma$,0.95,high,High,p99_ms,P99,6541.16,223.55517260846585,3
