parameter,parameter_label,parameter_value,scenario,scenario_label,latency_metric,latency_metric_label,latency_ms_mean,latency_ms_std,runs
forget_gamma,$\gamma$,0.95,high,High,p95_ms,P95,4703.499999999998,0.0,1
forget_gamma,$\gamma$,0.95,high,High,p99_ms,P99,6395.580000000011,0.0,1
forget_gamma,$\gamma$,0.99,low,Low,avg_e2e_ms,Avg,3158.9810606060605,0.0,1
forget_gamma,$\gamma$,0.99,low,Low,p95_ms,P95,5536.1,0.0,1
forget_gamma,$\gamma$,0.99,low,Low,p99_ms,P99,6554.910000000002,0.0,1
forget_gamma,$\gamma$,0.99,mid,Medium,avg_e2e_ms,Avg,2589.1098265895953,0.0,1
forget_gamma,$\gamma$,0.99,mid,Medium,p95_ms,P95,5294.5,0.0,1
forget_gamma,$\gamma$,0.99,mid,Medium,p99_ms,P99,6556.200000000008,0.0,1
forget_gamma,$\gamma$,0.99,high,High,avg_e2e_ms,Avg,2058.070821529745,0.0,1
forget_gamma,$\gamma$,0.99,high,High,p95_ms,P95,4679.299999999999,0.0,1
forget_gamma,$\gamma$,0.99,high,High,p99_ms,P99,5919.460000000001,0.0,1
